title,outlet,date,url
A Pioneer In Predictive Policing Is Starting a Troubling New Project,The Verge (with Ali Winston),4/26/2018,https://www.theverge.com/2018/4/26/17285058/predictive-policing-predpol-pentagon-ai-racial-bias
New Mexico's Sad Bet on Space Exploration,The Atlantic,3/2/18,https://www.theatlantic.com/technology/archive/2018/03/new-mexicos-sad-bet-on-space-exploration/554243/
A Rare and Toxic Age,Increment,February 2018,https://increment.com/energy-environment/a-rare-and-toxic-age/
Could Facebook Be Tried for Human Rights Abuses?,The Atlantic,12/20/17,https://www.theatlantic.com/technology/archive/2017/12/could-facebook-be-tried-for-war-crimes/548639/
What Happens to the Internet After a Disaster?,Select All,10/31/17,http://nymag.com/selectall/2017/10/what-happens-to-the-internet-after-a-disaster.html
When Climate Crisis Takes Out The Internet,Quartz,9/12/17,https://qz.com/1074883/we-rely-on-the-internet-during-a-crisis-so-what-if-the-next-crisis-threatens-the-internet/
Weather Control as a Service,Increment,August 2017,https://increment.com/cloud/weather-control-as-a-service/
When a Typo Breaks The Internet,Select All,3/3/17,http://nymag.com/selectall/2017/03/ingrid-burrington-amazon-web-services-downtime-is-a-warning.html
A Surreal Trip to a Domain Names Conference,The Atlantic,2/13/17,https://www.theatlantic.com/technology/archive/2017/02/domain-names-dot-horse/516438/
The Valley and the Predator, Rhizome, 1/19/17,http://rhizome.org/editorial/2017/jan/19/bit-plane/
How a dead WWII-era philosopher understands Donald Trump better than anyone on CNN,Fusion,10/28/16,http://fusion.net/story/363002/hannah-arendt-donald-trump-origins-of-totalitarianism/
The internet apocalypse map hides the major vulnerability that created it,The Verge,10/24/16,http://www.theverge.com/2016/10/24/13380448/ddos-dyn-attack-internet-infrastructure
Who Controls the Internet? Ted Cruz's Fantasy vs. Reality,Fusion,09/06/16,http://fusion.net/story/343533/who-controls-the-internet
Light Industry: Toxic Waste and Pastoral Capitalism,e-flux Journal,06/15/16,http://e-flux.com/journal/light-industry-toxic-waste-and-pastoral-capitalism/ 
Why Amazon's Data Centers Are Hidden in Spy Country, The Atlantic,01/08/16,http://theatlantic.com/technology/archive/2016/01/amazon-web-services-data-center/423147/
How Mobile Carriers Skirt Net-Neutrality Rules, The Atlantic,12/18/15,http://theatlantic.com/technology/archive/2015/12/not-everyone-can-use-the-cloud-equally/421209/
The Environmental Toll of a Netflix Binge, The Atlantic,12/16/15,http://theatlantic.com/technology/archive/2015/12/there-are-no-clean-clouds/420744/
Literal American Gold Mine, San Francisco Art Quarterly,12/11/15,http://sfaq.us/2015/12/literal-american-gold-mine/
The Secrets of an Abandoned Microwave Tower in Kansas, The Atlantic,12/10/15,http://theatlantic.com/technology/archive/2015/12/the-secrets-of-an-abandoned-tower-in-kansas/419727/
A Network of Fragments, The Atlantic,12/08/15,http://theatlantic.com/technology/archive/2015/12/a-network-of-fragments/419469/
A Journey Into the Heart of Facebook, The Atlantic,12/04/15,http://theatlantic.com/technology/archive/2015/12/facebook-data-center-tk/418683/
Why Are There So Many Data Centers in Iowa?, The Atlantic,12/01/15,http://theatlantic.com/technology/archive/2015/12/why-are-so-many-data-centers-built-in-iowa/418005/
Finding Dark Fiber in a Desert Ghost Town, The Atlantic,11/30/15,http://theatlantic.com/technology/archive/2015/11/dark-fiber-in-ghost-towns/417975/
How Railroad History Shaped Internet History, The Atlantic,11/24/15,http://theatlantic.com/technology/archive/2015/11/how-railroad-history-shaped-internet-history/417414/
A Visit to the NSA's Data Center in Utah, The Atlantic,11/19/15,http://theatlantic.com/technology/archive/2015/11/a-visit-to-the-nsas-data-center-in-utah/416691/
The Strange Geopolitics of the International Cloud, The Atlantic,11/17/15,http://theatlantic.com/technology/archive/2015/11/the-strange-geopolitics-of-the-international-cloud/416370/
Where the Cloud Rises From the Sea, The Atlantic,11/12/15,http://theatlantic.com/technology/archive/2015/11/where-the-cloud-rises-from-the-sea/415236/
What's Important About Underwater Internet Cables, The Atlantic,11/09/15,http://theatlantic.com/technology/archive/2015/11/submarine-cables/414942/
What People Mean When They Talk About 'The Cloud', The Atlantic,11/04/15,http://theatlantic.com/technology/archive/2015/11/what-people-mean-when-they-talk-about-the-cloud/413758/
The Room Where the Internet Was Born, The Atlantic,11/02/15,http://theatlantic.com/technology/archive/2015/11/where-was-the-internet-born/413221/
How to See Invisible Infrastructure, The Atlantic,08/14/15,http://www.theatlantic.com/technology/archive/2015/08/how-to-see-invisible-infrastructure/401204/
What Amazon Taught the Cops,The Nation,05/27/15,https://www.thenation.com/article/what-amazon-taught-cops/
Objects Not To Scale: Contemporary Mappa Mundi of the Surveillance State, San Francisco Art Quarterly,05/22/15,http://sfaq.us/2015/05/objects-not-to-scale-contemporary-mappa-mundi-of-the-surveillance-state/
The Failed Attempt to Destroy GPS, The Atlantic,05/05/15,http://www.theatlantic.com/technology/archive/2015/03/the-failed-attempt-to-destroy-early-gps/386656/
An Internet of Wars: Military Networks and Network Militarization, San Francisco Art Quarterly,02/11/15,http://sfaq.us/2015/02/an-internet-of-wars-military-networks-and-network-militarization/ 
Islands in the Stream: On Local Networks and Internet Freedom, San Francisco Art Quarterly,11/10/14,http://sfaq.us/2014/11/on-local-networks-internet-freedom
The Cloud is Not the Territory,Creative Time Reports,05/20/14,http://creativetime.org/reports/2014/05/20/ingrid-burrington-the-cloud-is-not-the-territory-wnv/
On the Outskirts of Crypto City: The Architecture of Surveillance,Creative Time Reports,01/07/14,http://creativetime.org/reports/2014/01/07/the-architecture-of-surveillance/
